,南,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5D,4.0,36
1,FULLBACK,550.0,438.0,174.0,403.0,318.0,214.0,463.0,570,394.0,3524
2,BACK,519.0,410.0,156.0,388.0,374.0,185.0,434.0,541,372.0,3379
3,REG,493.0,380.0,156.0,368.0,374.0,185.0,407.0,516,339.0,3218
4,LADY,443.0,332.0,156.0,318.0,320.0,158.0,315.0,467,325.0,2834
5,Hdcp,,,,,,,,,,­
