,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,4,4,4,3,5,36
1,Champion,565,441,426,159,376,366,411,175,600,3519
2,Blue,537,393,393,159,353,366,376,175,534,3286
3,Regular,501,379,361,138,327,306,322,153,534,3021
4,Front,473,338,333,111,295,282,286,131,499,2748
5,Ladies,416,338,333,111,295,282,286,131,396,2588
6,Hdcp,3,6,2,9,5,4,7,8,1,­
