,出流　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3N,4.0,5D,3N,5.0,4.0,4D,4.0,36
1,Champ,370.0,165,361.0,534,159,566.0,329.0,382,358.0,3224
2,Front,327.0,133,331.0,491,131,490.0,269.0,363,324.0,2859
3,Ladies,273.0,121,317.0,463,121,461.0,255.0,332,303.0,2646
4,Hdcp,,,,,,,,,,­
