,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4D,4D,3,4N,5,36
1,BLUE,398,588,198,360,367,397,159,393,510,3370
2,WHITE,385,572,188,334,340,386,155,375,497,3232
3,GREEN,358,504,174,303,340,376,140,375,461,3031
4,RED,235,484,112,254,273,298,135,283,408,2482
5,Hdcp,5,2,8,1,7,4,9,3,6,­
