,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,4,4D,3N,5,36
1,Back T.,386,550,204,387,392,405,432,149,475,3380
2,Reg,327,506,181,374,334,332,411,130,450,3045
3,Ladies,286,376,165,272,311,295,325,107,398,2535
4,Hdcp,10,4,16,2,14,8,6,18,12,­
