,二の丸,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,5D,4,4,3,4,36
1,Black,436,403,543,177,557,440,378,212,437,3583
2,Blue,412,380,517,147,534,413,347,182,403,3335
3,White,394,358,496,136,508,381,326,159,384,3142
4,Gold,371,343,486,136,492,374,321,152,365,3040
5,Red,356,343,462,126,492,362,311,143,338,2933
6,Hdcp,8,5,2,7,1,4,6,9,3,­
