,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,5,3,4D,3N,4,4,4,36
1,Back T.,460,391,560,203,405,167,408,348,371,3313
2,Regular T.,460,370,522,178,383,167,394,348,347,3169
3,Ladies T.,424,299,439,145,278,122,263,305,315,2590
4,Hdcp,8,6,1,3,4,9,2,7,5,­
