,ブルー,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,3,4,4,4,3N,5,36
1,Back T.,383,348,591,162,327,325,465,172,518,3291
2,Reg T.,348,322,565,141,304,300,441,157,476,3054
3,Front T.,320,292,536,122,276,279,413,115,462,2815
4,Hdcp,8,4,1,3,6,7,2,9,5,­
