,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4D,5,3N,4,4,4,4D,36
1,Gold,534,199,372,574,178,325,376,432,423,3413
2,Blue,514,184,333,550,158,309,350,404,390,3192
3,White,491,168,299,513,153,309,326,371,359,2989
4,Red,446,146,267,445,126,265,293,294,310,2592
5,Hdcp,4,16,10,2,14,8,18,12,6,­
