,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5D,4,4,5D,3N,4,36
1,BT,458,387,220,562,398,341,541,192,421,3520
2,RT,403,352,176,542,377,325,506,142,383,3206
3,LT,299,315,127,483,346,314,461,127,269,2741
4,Hdcp,4,16,10,8,2,14,12,18,6,­
