,EAST　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,4,3,5,3N,4,4,36
1,Back,386,539,360,341,160,500,166,397,339,3188
2,Reg.,360,530,353,325,150,481,161,377,318,3055
3,Front,334,522,336,305,145,472,148,360,303,2925
4,Ladies,309,475,303,305,124,466,132,331,295,2740
5,Hdcp,9,3,15,7,17,1,13,5,11,­
