,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4D,3N,5,4,4,36
1,Back T.,563,316,292,140,422,160,554,362,427,3236
2,Reg,537,296,282,129,399,149,538,347,405,3082
3,Ladies,435,276,262,129,370,118,390,320,370,2670
4,Hdcp,2,8,5,7,1,4,3,9,6,­
