,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,3,5,4,5D,4,36
1,Back T.,370,420,183,391,199,525,394,556,359,3397
2,Reg,350,404,152,362,176,501,371,534,321,3171
3,Ladies,293,309,152,316,156,419,246,431,299,2621
4,Hdcp,9,3,15,7,13,1,11,5,17,­
