,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3,4,5,3N,5,4D,36
1,Back,411,466,383,183,358,514,186,545,470,3516
2,Reg,390,435,359,164,320,490,169,503,434,3264
3,Hdcp,4,10,8,14,18,2,16,12,6,­
