,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3N,5,4,4,4,3N,5D,36
1,BLUE,392,340,173,510,335,418,308,186,503,3165
2,WHITE,364,325,151,487,313,348,289,153,487,2917
3,GREEN,364,309,142,460,313,335,289,153,474,2839
4,RED,272,249,142,406,290,238,271,153,401,2422
5,Hdcp,5,2,8,7,4,1,3,9,6,­
