,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,4,5,3,4,5D,36
1,Back,420,162,409,457,442,468,198,412,541,3509
2,Regular,400,151,396,440,430,460,186,402,527,3392
3,Front,372,135,369,362,403,449,175,383,511,3159
4,Ladies,268,119,261,349,347,387,129,290,430,2580
5,Hdcp,7,9,3,1,4,6,8,2,5,­
