,黄金,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,36
1,Back T.,521.0,154.0,421.0,163.0,398.0,410.0,362.0,403.0,519.0,3351
2,Reg.,482.0,137.0,395.0,143.0,381.0,397.0,353.0,387.0,475.0,3150
3,Ladies,434.0,120.0,305.0,126.0,334.0,363.0,339.0,347.0,416.0,2784
4,Hdcp,,,,,,,,,,­
