,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4D,5,3,4,4,36
1,Champion,425,383,601,151,444,572,179,439,411,3605
2,Reg.,412,348,579,144,425,558,145,394,377,3382
3,Ladies,288,326,488,135,348,474,145,264,334,2802
4,Hdcp,3,11,1,15,7,5,17,13,9,­
