,西OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,4,4,3,5,4,36
1,Back T.,347,167,514,351,381,385,170,531,385,3231
2,Reg.,317,143,487,328,350,360,137,501,359,2982
3,Front,291,128,449,307,321,332,107,446,326,2707
4,Champ,375,189,543,364,397,414,194,559,408,3443
5,Hdcp,5,8,2,4,7,1,9,3,6,­
