,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4D,4,4D,3N,5,4,36
1,Back,351,491,145,441,375,395,189,539,390,3316
2,Regular,324,476,131,378,359,368,167,511,373,3087
3,Front,304,459,131,363,335,354,147,497,373,2963
4,Ladies,272,419,131,327,314,305,133,439,359,2699
5,Hdcp,2,5,9,1,7,4,8,3,6,­
