,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,5D,3N,4,3,5,36
1,B.T,384,393,350,423,507,169,452,196,546,3420
2,Ｒ.Ｔ,351,354,330,391,481,152,419,166,513,3157
3,Ｌ..Ｔ,318,314,302,360,410,114,270,143,477,2708
4,Hdcp,5,2,8,4,1,7,3,9,6,­
