,南(OUT),1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,4,5,4,3,4,36
1,Back T.,390,500,330,170,430,530,410,160,365,3285
2,Reg.,375,475,310,140,400,500,395,145,350,3090
3,Hdcp,5,11,17,13,1,3,9,15,7,­
