,多幸コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3,4,4,3N,4D,4,4,5,36
1,青,449,164,337,288,131,400,378,332,548,3027
2,白,436,150,304,275,121,380,353,319,535,2873
3,ゴールド,423,124,290,197,78,335,333,316,455,2551
4,緑,378,102,274,195,73,272,275,302,373,2244
5,Hdcp,7,13,17,9,15,1,5,11,3,­
