,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4D,5,4,3,5,4,36
1,Back T.,442,164,383,392,498,396,177,560,432,3444
2,Regular T.,427,153,364,347,476,374,166,503,358,3168
3,Ladies T.,323,118,301,229,478,350,146,393,308,2646
4,Hdcp,3,9,8,2,5,7,6,1,4,­
