,男体　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,4,5D,4,3N,4,36
1,Back T.,433,490,214,423,418,510,420,143,412,3463
2,Reg.,396,478,185,399,407,495,399,125,373,3257
3,Ladies,335,340,172,267,266,429,297,120,296,2522
4,Hdcp,9,3,15,13,1,7,5,17,11,­
