,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4D,4,3N,4,4,5,36
1,Back T.,550,420,180,450,400,170,345,370,520,3405
2,Reg.,520,380,170,395,360,140,335,345,490,3135
3,Gold,445,360,138,350,314,115,335,325,408,2790
4,Hdcp,5,2,8,1,4,7,6,3,9,­
