,三の丸,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,4,3,5,4,36
1,Black,415,182,404,417,561,468,194,557,400,3598
2,Blue,395,170,382,382,529,438,174,529,363,3362
3,White,375,151,351,362,495,398,164,512,345,3153
4,Gold,360,151,328,332,464,392,157,492,325,3001
5,Red,353,151,313,327,445,363,147,492,305,2896
6,Hdcp,5,8,2,4,7,1,9,3,6,­
