,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5,3,4,5D,4,36
1,Back,353,136,317,337,493,209,320,469,377,3011
2,Regular,353,128,317,337,471,201,320,469,361,2957
3,Front,339,124,302,321,456,165,300,448,324,2779
4,Ladies,257,110,289,274,428,136,284,415,263,2456
5,Hdcp,3,9,6,4,2,1,8,7,5,­
