,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4,4D,5,3,36
1,Back T.,330,471,390,180,390,340,360,460,155,3076
2,Reg.,310,450,370,155,370,320,345,445,135,2900
3,Gold,273,377,355,90,355,305,345,420,100,2620
4,Hdcp,8,2,5,7,1,4,6,3,9,­
