,北,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3.0,5D,4.0,4.0,3N,5.0,4.0,36
1,FULLBACK,415.0,359.0,172.0,525,415.0,366.0,194,536.0,427.0,3409
2,BACK,396.0,342.0,154.0,508,386.0,359.0,178,519.0,405.0,3247
3,REG,396.0,323.0,154.0,508,386.0,339.0,178,493.0,385.0,3162
4,LADY,346.0,260.0,154.0,478,336.0,287.0,120,423.0,335.0,2739
5,Hdcp,,,,,,,,,,­
