,権現　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4,4,5D,4,3,4,36
1,BACK,411,520,210,388,406,501,382,201,368,3387
2,REGULAR,387,499,170,362,371,488,354,175,344,3150
3,LADIES,272,425,154,340,353,459,332,119,292,2746
4,Hdcp,1,3,13,7,11,9,15,5,17,­
