,リバー,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,3,5,4,4,5,4D,36
1,Blue,385,171,354,193,496,333,410,492,365,3199
2,White,365,151,333,178,473,309,388,477,344,3018
3,Orange,307,137,310,124,396,296,350,410,329,2659
4,Pink,282,103,228,124,379,276,325,392,296,2405
5,Red,307,103,242,124,386,296,350,410,329,2547
6,Hdcp,6,9,5,4,3,8,2,1,7,­
