,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,4,5,3,5D,4,4,36
1,バック,336,206,402,411,514,177,533,391,345,3315
2,レギュラー,326,185,382,370,492,165,512,381,332,3145
3,レディース,312,126,287,328,412,110,372,283,266,2496
4,Hdcp,18,4,14,2,16,12,6,10,8,­
