,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,5D,4,3,4,36
1,Black,546,410,200,430,406,551,388,208,419,3558
2,Blue,524,394,181,405,384,528,366,186,362,3330
3,White,505,383,143,362,349,517,360,148,345,3112
4,Red,394,248,123,197,270,398,298,128,316,2372
5,Hdcp,9,3,15,1,11,7,13,17,5,­
