,三ノ瀬,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,5,3,4,3N,4,4,36
1,Back T.,344,532,356,600,210,320,197,339,400,3298
2,Reg.,328,480,334,578,150,300,155,301,370,2996
3,Hdcp,8,6,9,1,4,5,3,7,2,­
