,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4D,3N,5,3,4,5,4,36
1,BLUE,421,366,354,163,550,205,365,538,428,3390
2,GREEN,385,338,328,143,510,184,341,504,395,3128
3,ORANGE,365,322,311,135,478,170,336,487,379,2983
4,PINK,256,228,145,110,375,129,215,388,243,2089
5,RED,331,293,282,110,445,129,283,429,331,2633
6,Hdcp,4,16,10,14,2,8,18,6,12,­
