,ルート,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5D,5,3N,4,4,36
1,Blue,403,402,352,193,575,559,190,329,301,3304
2,White,379,372,339,175,545,535,155,300,279,3079
3,Orange,366,346,308,126,464,495,145,288,266,2804
4,Pink,333,238,390,126,423,460,145,261,266,2642
5,Red,366,285,308,126,464,495,145,288,266,2743
6,Hdcp,5,2,8,4,1,3,6,7,9,­
