,権現　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3,4,4,5,3N,4,4,36
1,BACK,358,538,158,350,400,524,148,406,367,3249
2,REGULAR,335,525,144,315,343,481,123,384,345,2995
3,LADIES,298,490,117,292,275,380,107,258,321,2538
4,Hdcp,10,4,12,16,2,8,18,6,14,­
