,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5,3N,4,4,3,5,36
1,BACK,346,385,315,567,173,364,366,186,454,3156
2,REGULAR,335,359,311,557,165,303,350,165,431,2976
3,FRONT,291,342,305,437,149,303,326,165,414,2732
4,LADIES,276,254,205,351,149,271,315,144,329,2294
5,Hdcp,5,2,8,1,7,4,6,9,3,­
