,レイク,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,5,3N,4,4D,4,4,36
1,Blue,456,535,193,475,159,252,365,439,357,3231
2,White,326,475,160,453,147,252,354,386,338,2891
3,Orange,326,338,150,450,117,240,335,355,312,2623
4,Pink,292,338,150,450,117,240,335,355,312,2589
5,Red,326,338,150,450,117,240,335,355,312,2623
6,Hdcp,3,4,9,1,7,5,6,2,8,­
