,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,4,3,5,4D,3N,4,36
1,BLUE,402,529,394,387,208,540,411,175,456,3502
2,WHITE,334,498,360,354,178,489,383,140,404,3140
3,YELLOW,322,482,330,331,147,440,354,130,359,2895
4,RED,301,430,316,315,133,430,304,114,343,2686
5,Hdcp,10,4,16,8,14,2,12,18,6,­
