,丸子,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5D,4,4,3,5,36
1,Back T.,385,378,370,200,540,344,438,197,554,3406
2,Reg.,311,364,335,164,484,306,384,164,516,3028
3,Hdcp,5,1,6,7,4,9,2,8,3,­
