,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4D,5,4,4,3N,4D,5,36
1,バック,432,187,380,506,365,428,216,390,545,3449
2,レギュラー,394,174,363,489,336,414,200,376,523,3269
3,フロント,368,159,331,471,321,400,178,368,512,3108
4,レディース,290,117,263,375,277,368,150,360,417,2617
5,Hdcp,4,12,2,18,14,6,8,16,10,­
