,三倉,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4D,5,4,3N,4,4,4,36
1,Back T.,546,203,381,595,405,179,406,349,420,3484
2,Reg.,492,168,362,560,355,148,362,335,374,3156
3,Hdcp,6,7,5,2,3,8,1,9,4,­
