,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5,3N,4,4,3,4D,5,36
1,Black,430,415,550,180,410,350,180,435,580,3530
2,Blue,400,385,530,165,375,325,155,415,550,3300
3,White,370,365,495,145,340,305,130,385,520,3055
4,Red,345,345,475,125,320,290,110,365,475,2850
5,Hdcp,9,11,5,17,7,13,15,1,3,­
