,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,5D,4,4,3,4,36
1,Back T.,606,431,388,205,569,382,396,179,443,3599
2,Regular,574,408,388,183,569,382,396,179,443,3522
3,Front1,562,394,371,163,546,368,374,159,406,3343
4,Front2,531,394,354,163,546,357,351,138,379,3213
5,Ladys1,509,254,335,151,502,357,351,117,379,2955
6,Ladys2,407,254,335,151,472,357,316,117,357,2766
7,Hdcp,5,6,8,9,3,7,1,4,2,­
