,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,4D,4,3,4,5,4,36
1,Blue,494,144,386,372,337,176,414,599,341,3263
2,White,471,119,366,372,316,150,399,520,341,3054
3,Green,455,108,366,340,316,150,353,443,314,2845
4,Red,455,108,366,255,291,75,229,297,314,2390
5,Hdcp,14,18,8,4,16,6,10,2,12,­
