,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,5,4,3,4D,36
1,Back,408,173,596,380,420,523,322,149,422,3393
2,Regular,393,156,582,380,420,523,322,149,422,3347
3,Front1,372,156,560,369,410,503,303,138,373,3184
4,Front2,355,121,546,348,395,482,277,127,368,3019
5,Ladies1,355,121,496,348,376,482,277,127,340,2922
6,Ladies2,324,121,479,348,361,464,259,127,321,2804
7,Hdcp,5,7,3,1,2,8,6,9,4,­
