,勝成　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4D,5,4,4,5,3N,4,36
1,BACK,357,169,410,510,303,404,506,130,369,3158
2,REGULAR,339,155,390,499,257,386,497,127,353,3003
3,LADIES,318,82,278,448,207,300,444,95,331,2503
4,Hdcp,14,5,2,15,11,1,6,9,10,­
