,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,5D,3,4,4,36
1,BACK,452,338,166,350,370,530,208,380,366,3160
2,REGULAR,434,308,155,331,357,500,187,358,341,2971
3,FRONT,413,293,139,301,329,472,159,358,319,2783
4,LADIES,318,223,121,251,253,368,135,327,255,2251
5,Hdcp,2,5,8,4,7,1,9,3,6,­
