,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,5,3N,4,4,4,3,36
1,Back T.,405,542,375,530,195,382,400,377,177,3383
2,Regular,377,542,375,491,195,382,400,377,150,3289
3,Front1,353,529,347,465,171,366,378,333,138,3080
4,Front2,331,498,310,443,153,349,352,311,131,2878
5,Ladys1,331,432,272,443,131,322,330,311,98,2670
6,Ladys2,307,432,272,373,131,292,330,291,98,2526
7,Hdcp,2,9,8,3,7,1,5,6,4,­
