,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5D,4,3,4,4,5,4,36
1,BACK,325,190,524,427,190,382,410,530,335,3313
2,REGULAR,316,172,502,395,170,368,361,498,316,3098
3,FRONT,307,172,502,337,170,351,338,425,316,2918
4,LADIES,270,118,446,261,140,285,250,380,270,2420
5,Hdcp,5,8,2,1,7,4,6,3,9,­
