,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
HACIENDA PINILLA 2004,Black,M,72,75.4,102.4,145,37.6  /  144,37.8  /  145
,Blue,M,72,72.4,97.8,137,36.1  /  142,36.3  /  132
,White,M,72,69.5,92.7,125,34.7  /  124,34.9  /  125
,Ladies - Red,F,72,69.2,95.9,114,34.7  /  117,34.5  /  110
Los Reyes Country Club,Azules,M,70,69.0,92.0,124,34.5  /  124,34.5  /  124
,Rojas,F,70,70.2,101.0,131,35.1  /  131,35.1  /  131
,Amarillas,F,70,66.1,93.7,117,33.1  /  117,33.0  /  117
