,黒潮アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5,3,5,4,4,36
1,Back T.,400,225,435,365,545,200,560,415,455,3600
2,Reg.,375,200,410,340,505,185,495,395,405,3310
3,Front,355,180,375,320,475,150,465,360,375,3055
4,Ladies,325,135,335,295,420,130,445,340,365,2790
5,Hdcp,17,9,5,13,11,15,7,3,1,­
