,足摺イン,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,3,4D,5,4,4,36
1,BACK,526,156,377,381,188,412,523,414,399,3376
2,REGULAR,499,136,359,368,160,392,463,363,383,3123
3,LADIES,403,129,314,351,150,367,421,306,318,2759
4,Hdcp,12,18,8,14,10,6,4,2,16,­
