,桂浜,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,3N,4,5,3,4,4,36
1,BACK,351,501,341,162,400,603,176,434,335,3303
2,REGULAR,334,489,322,135,375,545,154,398,317,3069
3,LADIES,316,403,297,121,295,434,106,260,294,2526
4,Hdcp,11,5,9,17,1,13,7,3,15,­
