,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3N,4,4,3N,4,4D,5,4,36
1,Champion,580,206,391,347,188,399,376,567,436,3490
2,Back,566,171,363,323,184,365,358,549,408,3287
3,Regular,556,151,320,306,161,355,352,500,394,3095
4,Front,525,140,301,283,135,320,333,478,378,2893
5,Ladies,404,117,284,283,135,284,285,478,324,2594
6,Hdcp,3,9,15,7,13,1,5,17,11,­
