,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4D,4,3N,5,4D,3N,5,4,4,36
1,Champion,443,351,206,545,406,195,591,424,466,3627
2,Back,430,341,198,523,389,180,572,407,446,3486
3,Regular,409,330,167,495,363,162,551,382,416,3275
4,Front,351,307,124,481,348,149,551,350,368,3029
5,Ladies,338,289,124,425,266,149,490,290,304,2675
6,Hdcp,4,16,10,8,2,14,12,18,6,­
