,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,4D,5,3N,4,5,4,36
1,C.T,400,196,409,407,528,185,418,535,403,3481
2,B.T,371,181,382,376,505,153,393,498,365,3224
3,R.T,342,149,369,357,485,130,374,478,346,3030
4,L.T,296,128,265,232,415,115,254,376,256,2337
5,Hdcp,16,12,4,2,8,10,6,18,14,­
