,室戸,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4D,3N,5,4,3,4,36
1,BACK,565,296,372,403,182,509,340,218,440,3325
2,REGULAR,544,288,356,352,141,499,301,180,370,3031
3,LADIES,498,262,267,226,124,414,301,146,302,2540
4,Hdcp,4,18,8,6,16,12,14,10,2,­
