,足摺アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5D,4,3N,4,4,5,4,36
1,BACK,343,192,539,435,172,438,396,512,427,3454
2,REGULAR,319,166,471,386,154,403,342,489,360,3090
3,LADIES,286,115,391,292,123,320,319,412,316,2574
4,Hdcp,17,11,13,5,15,3,7,9,1,­
