,暖流,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4D,4,3N,4,4,5D,36
1,Back T.,410,220,555,455,435,190,410,400,565,3640
2,Reg.,385,190,510,420,405,165,370,370,530,3345
3,Front,360,160,470,375,360,140,340,340,495,3040
4,Ladies,325,135,440,335,260,125,325,300,470,2715
5,Hdcp,6,8,2,1,3,9,7,5,4,­
