,太平洋,1,2,3,4,5,6,7,8,9,計
0,Par,5D,3,4D,4,3N,4,4,4,5,36
1,Back T.,570,205,440,410,175,395,440,420,530,3585
2,Reg.,530,185,415,360,160,370,405,385,490,3300
3,Front,495,155,385,325,140,340,385,350,455,3030
4,Ladies,460,125,370,305,115,310,340,290,405,2720
5,Hdcp,8,6,3,7,9,2,4,1,5,­
