,黒潮イン,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,4,5,3,4,36
1,Back T.,540,385,190,455,435,445,620,225,380,3675
2,Reg.,520,365,170,425,400,385,565,205,350,3385
3,Front,475,335,140,385,350,350,525,160,325,3045
4,Ladies,450,315,125,365,315,315,485,145,305,2820
5,Hdcp,10,8,14,2,6,12,4,16,18,­
